TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
ED 1950 To WGS 1984 23,-116.641,-56.931,-110.559,0.893,0.921,-0.917,-0.00000352,0,0,0
ED 1950 To WGS 1984 24,-90.365,-101.13,-123.384,0.333,0.077,0.894,0.000001994,0,0,0
Sierra Leone 1968 To WGS 1984,-88,4,101,0,0,0,0,0,0,0
Timbalai 1948 To WGS 1984 3,-726.282,703.611,-48.999,0,0,0,0,0,0,0
PDO 1993 To WGS 1984 3,-191.808,-250.512,167.861,-0.792,-1.653,8.558,0.000020703,0,0,0
MGI To WGS 1984 3,577.326,90.129,463.919,5.137,1.474,5.297,2.4232E-06,0,0,0
MGI To WGS 1984 4,551.7,162.9,467.9,6.04,1.96,-11.38,-0.00000482,0,0,0
S JTSK To WGS 1984 1,570.8,85.7,462.8,4.998,1.587,5.261,0.00000356,0,0,0
S JTSK To WGS 1984 2,559,68.7,451.5,7.92,4.073,4.251,0.00000571,0,0,0
ED 1950 To WGS 1984 25,-81.1,-89.4,-115.8,0.485,0.024,0.413,-0.00000054,0,0,0
ED 1950 To WGS 1984 26,-116.8,-106.4,-154.4,0,0,0,0,0,0,0
ED 1950 To WGS 1984 27,-181.5,-90.3,-187.2,0.144,0.492,-0.394,0.00001757,0,0,0
ED 1950 To WGS 1984 28,-131,-100.3,-163.4,-1.244,-0.02,-1.144,0.00000939,0,0,0
ED 1950 To WGS 1984 29,-178.4,-83.2,-221.3,0.54,-0.532,-0.126,0.0000212,0,0,0
KKJ To WGS 1984 1,-90.7,-106.1,-119.2,4.09,0.218,-1.05,0.00000137,0,0,0
TM65 To WGS 1984 2,482.5,-130.6,564.6,-1.042,-0.214,-0.631,0.00000815,0,0,0
Luxembourg 1930 To WGS 1984 1,-192.986,13.673,-39.309,-0.4099,-2.9332,2.6881,0.00000043,0,0,0
Pulkovo 1942 Adj 1958 To WGS 1984 1,33.4,-146.6,-76.3,-0.359,-0.053,0.844,-0.00000084,0,0,0
Estonia 1997 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
NGO 1948 To WGS 1984,319.08,37.81,463.57,6.2970588,-1.2903926,-5.712916338,0.000010819,0,0,0
Monte Mario To WGS 1984 4,-104.1,-49.1,-9.9,0.971,-2.917,0.714,-0.00001168,0,0,0
Monte Mario To WGS 1984 2,-168.6,-34,38.6,-0.374,-0.679,-1.379,-0.00000948,0,0,0
Monte Mario To WGS 1984 3,-50.2,-50.4,84.8,-0.69,-2.012,0.459,-0.00002808,0,0,0
AGD 1966 To WGS 1984 12,-129.193,-41.212,130.73,0.246,0.374,0.329,-0.000002955,0,0,0
AGD 1966 To WGS 1984 13,-119.353,-48.301,139.484,0.415,0.26,0.437,-0.000000613,0,0,0
AGD 1966 To WGS 1984 14,-120.271,-64.543,161.632,0.217,-0.067,-0.129,0.000002499,0,0,0
AGD 1966 To WGS 1984 15,-124.133,-42.003,137.4,-0.008,0.557,0.178,-0.000001854,0,0,0
AGD 1984 To WGS 1984 7,-117.763,-51.51,139.061,0.292,0.443,0.277,-0.000000191,0,0,0
NZGD 1949 To WGS 1984 3 NTv2,0,0,0,0,0,0,0,0,0,0
